DateTime,Trigger,Response
2024-09-13 14:51:19.322270,trigger22,16050008ff000edf
2024-09-13 14:51:21.498605,mcooltrigger,16050017ff003f19
2024-09-13 14:51:23.680862,autospeedtrigger,1605001bff00ff1a
2024-09-13 14:51:50.403254,trigger22,16050008ff000edf
2024-09-13 14:51:52.586472,mcooltrigger,16050017ff003f19
2024-09-13 14:51:54.763242,autospeedtrigger,1605001bff00ff1a
2024-09-13 14:53:51.478097,trigger22,16050008ff000edf
2024-09-13 14:53:53.667551,mcooltrigger,16050017ff003f19
2024-09-13 14:53:55.841280,autospeedtrigger,1605001bff00ff1a
2024-09-13 14:55:52.471957,trigger22,16050008ff000edf
2024-09-13 14:55:54.647895,mcooltrigger,16050017ff003f19
2024-09-13 14:55:56.821991,autospeedtrigger,1605001bff00ff1a
2024-09-13 14:57:53.485233,trigger22,16050008ff000edf
2024-09-13 14:57:55.661856,mcooltrigger,16050017ff003f19
2024-09-13 14:57:57.831573,autospeedtrigger,1605001bff00ff1a
2024-09-13 14:59:56.680556,trigger18,16050004ff00cedc
2024-09-13 14:59:58.864905,trigger22,16050008ff000edf
2024-09-13 15:00:01.045419,mcooltrigger,16050017ff003f19
2024-09-13 15:00:03.228774,speed06trigger,1605001dff001f1b
2024-09-13 15:01:53.039845,trigger18,16050004ff00cedc
2024-09-13 15:01:55.217771,trigger22,16050008ff000edf
2024-09-13 15:01:57.397937,mcooltrigger,16050017ff003f19
2024-09-13 15:01:59.581111,speed06trigger,1605001dff001f1b
2024-09-13 15:03:58.419071,trigger18,16050004ff00cedc
2024-09-13 15:04:00.605075,trigger22,16050008ff000edf
2024-09-13 15:04:02.780055,mcooltrigger,16050017ff003f19
2024-09-13 15:04:04.958692,speed06trigger,1605001dff001f1b
2024-09-13 15:05:54.835426,trigger16,16050002ff002edd
2024-09-13 15:05:57.020145,trigger22,16050008ff000edf
2024-09-13 15:05:59.198403,mcooltrigger,16050017ff003f19
2024-09-13 15:06:01.375657,maxspeedtrigger,1605001cff004edb
2024-09-13 15:07:51.222071,trigger16,16050002ff002edd
2024-09-13 15:07:53.394286,trigger22,16050008ff000edf
2024-09-13 15:07:55.575540,mcooltrigger,16050017ff003f19
2024-09-13 15:07:57.748885,maxspeedtrigger,1605001cff004edb
2024-09-13 15:09:56.491705,trigger16,16050002ff002edd
2024-09-13 15:09:58.676286,trigger22,16050008ff000edf
2024-09-13 15:10:00.855063,mcooltrigger,16050017ff003f19
2024-09-13 15:10:03.023262,maxspeedtrigger,1605001cff004edb
2024-09-13 15:11:52.919832,trigger16,16050002ff002edd
2024-09-13 15:11:55.093774,trigger22,16050008ff000edf
2024-09-13 15:11:57.274598,mcooltrigger,16050017ff003f19
2024-09-13 15:11:59.456942,maxspeedtrigger,1605001cff004edb
2024-09-13 15:13:58.192754,trigger16,16050002ff002edd
2024-09-13 15:14:00.369216,trigger22,16050008ff000edf
2024-09-13 15:14:02.545754,mcooltrigger,16050017ff003f19
2024-09-13 15:14:04.722407,maxspeedtrigger,1605001cff004edb
2024-09-13 15:15:54.591890,trigger16,16050002ff002edd
2024-09-13 15:15:56.775924,trigger22,16050008ff000edf
2024-09-13 15:15:58.954622,mcooltrigger,16050017ff003f19
2024-09-13 15:16:01.129307,maxspeedtrigger,1605001cff004edb
2024-09-13 15:17:59.989724,trigger18,16050004ff00cedc
2024-09-13 15:18:02.162408,trigger22,16050008ff000edf
2024-09-13 15:18:04.340771,mcooltrigger,16050017ff003f19
2024-09-13 15:18:06.509844,speed06trigger,1605001dff001f1b
2024-09-13 15:19:56.134780,trigger18,16050004ff00cedc
2024-09-13 15:19:58.323375,trigger22,16050008ff000edf
2024-09-13 15:20:00.503838,mcooltrigger,16050017ff003f19
2024-09-13 15:20:02.685467,speed06trigger,1605001dff001f1b
2024-09-13 15:21:52.340075,trigger18,16050004ff00cedc
2024-09-13 15:21:54.518746,trigger22,16050008ff000edf
2024-09-13 15:21:56.703897,mcooltrigger,16050017ff003f19
2024-09-13 15:21:58.879013,speed06trigger,1605001dff001f1b
2024-09-13 15:24:50.650837,trigger18,16050004ff00cedc
2024-09-13 15:24:52.816331,trigger22,16050008ff000edf
2024-09-13 15:24:54.991272,mcooltrigger,16050017ff003f19
2024-09-13 15:24:57.175919,speed06trigger,1605001dff001f1b
2024-09-13 15:26:01.585372,trigger18,16050004ff00cedc
2024-09-13 15:26:03.749813,trigger22,16050008ff000edf
2024-09-13 15:26:05.930374,mcooltrigger,16050017ff003f19
2024-09-13 15:26:08.110132,speed06trigger,1605001dff001f1b
2024-09-13 15:27:57.020947,trigger16,16050002ff002edd
2024-09-13 15:27:59.211133,trigger22,16050008ff000edf
2024-09-13 15:28:01.384885,mcooltrigger,16050017ff003f19
2024-09-13 15:28:03.566531,maxspeedtrigger,1605001cff004edb
2024-09-13 15:30:01.391052,trigger16,16050002ff002edd
2024-09-13 15:30:03.575265,trigger22,16050008ff000edf
2024-09-13 15:30:05.742072,mcooltrigger,16050017ff003f19
2024-09-13 15:30:07.917086,maxspeedtrigger,1605001cff004edb
2024-09-13 15:31:56.922175,trigger16,16050002ff002edd
2024-09-13 15:31:59.091313,trigger22,16050008ff000edf
2024-09-13 15:32:01.274785,mcooltrigger,16050017ff003f19
2024-09-13 15:32:03.456805,maxspeedtrigger,1605001cff004edb
2024-09-13 15:34:01.287099,trigger16,16050002ff002edd
2024-09-13 15:34:03.462115,trigger22,16050008ff000edf
2024-09-13 15:34:05.636480,mcooltrigger,16050017ff003f19
2024-09-13 15:34:07.804544,maxspeedtrigger,1605001cff004edb
2024-09-13 15:35:56.667290,trigger16,16050002ff002edd
2024-09-13 15:35:58.849987,trigger22,16050008ff000edf
2024-09-13 15:36:01.027701,mcooltrigger,16050017ff003f19
2024-09-13 15:36:03.210242,maxspeedtrigger,1605001cff004edb
2024-09-13 15:38:01.064972,trigger16,16050002ff002edd
2024-09-13 15:38:03.246679,trigger22,16050008ff000edf
2024-09-13 15:38:05.425334,mcooltrigger,16050017ff003f19
2024-09-13 15:38:07.595284,maxspeedtrigger,1605001cff004edb
2024-09-13 15:39:56.560088,trigger16,16050002ff002edd
2024-09-13 15:39:58.733209,trigger22,16050008ff000edf
2024-09-13 15:40:00.906935,mcooltrigger,16050017ff003f19
2024-09-13 15:40:03.075945,maxspeedtrigger,1605001cff004edb
2024-09-13 15:42:00.946635,trigger16,16050002ff002edd
